website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
80,2012-03-19 17:02:42,80,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
81,2012-03-19 17:05:02,81,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
82,2012-03-19 17:06:31,82,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
83,2012-03-19 17:08:45,83,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
84,2012-03-19 17:20:04,84,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
85,2012-03-19 17:23:41,85,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
86,2012-03-19 17:39:03,86,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
87,2012-03-19 17:43:37,87,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
88,2012-03-19 17:49:08,88,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
89,2012-03-19 17:56:53,89,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
90,2012-03-19 17:58:38,90,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
91,2012-03-19 18:06:16,91,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
92,2012-03-19 18:07:02,92,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
93,2012-03-19 18:08:27,93,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
94,2012-03-19 18:09:58,94,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
95,2012-03-19 18:11:39,95,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
96,2012-03-19 18:20:34,96,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
97,2012-03-19 18:29:05,97,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
98,2012-03-19 18:31:53,98,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
99,2012-03-19 18:40:42,99,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
100,2012-03-19 18:53:45,100,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
