order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
59,2012-03-31 10:25:39,1823,1815,1,1,49.99,19.49
60,2012-03-31 19:24:33,1863,1855,1,1,49.99,19.49
61,2012-04-01 06:45:11,1890,1882,1,1,49.99,19.49
62,2012-04-01 12:38:27,1912,1902,1,1,49.99,19.49
63,2012-04-01 17:33:26,1939,1929,1,1,49.99,19.49
64,2012-04-01 18:26:19,1944,1934,1,1,49.99,19.49
65,2012-04-02 11:07:48,2036,2025,1,1,49.99,19.49
66,2012-04-02 16:32:15,2089,2076,1,1,49.99,19.49
67,2012-04-02 17:17:42,2102,2089,1,1,49.99,19.49
68,2012-04-02 18:36:27,2115,2102,1,1,49.99,19.49
69,2012-04-03 10:29:20,2210,2196,1,1,49.99,19.49
70,2012-04-03 11:53:36,2231,2217,1,1,49.99,19.49
71,2012-04-03 15:03:48,2262,2247,1,1,49.99,19.49
72,2012-04-03 16:31:50,2291,2276,1,1,49.99,19.49
73,2012-04-03 16:36:02,2295,1752,1,1,49.99,19.49
74,2012-04-03 19:09:43,2325,2309,1,1,49.99,19.49
75,2012-04-04 07:47:38,2392,2376,1,1,49.99,19.49
76,2012-04-04 11:13:55,2422,2405,1,1,49.99,19.49
77,2012-04-04 11:34:52,2431,2414,1,1,49.99,19.49
78,2012-04-04 18:21:44,2514,2495,1,1,49.99,19.49
79,2012-04-04 19:00:06,2522,2503,1,1,49.99,19.49
80,2012-04-05 10:34:00,2624,383,1,1,49.99,19.49
81,2012-04-05 13:15:34,2668,2644,1,1,49.99,19.49
82,2012-04-05 20:11:27,2770,2746,1,1,49.99,19.49
83,2012-04-06 04:04:23,2810,2786,1,1,49.99,19.49
84,2012-04-06 12:16:39,2879,2854,1,1,49.99,19.49
85,2012-04-06 17:13:09,2942,2916,1,1,49.99,19.49
86,2012-04-06 22:48:48,2982,2956,1,1,49.99,19.49
87,2012-04-07 04:47:20,3000,2972,1,1,49.99,19.49
88,2012-04-07 16:15:03,3040,3012,1,1,49.99,19.49
89,2012-04-07 16:55:38,3044,3016,1,1,49.99,19.49
90,2012-04-08 02:25:16,3077,3048,1,1,49.99,19.49
91,2012-04-08 05:52:53,3082,3053,1,1,49.99,19.49
92,2012-04-08 20:50:48,3137,3107,1,1,49.99,19.49
93,2012-04-08 21:10:18,3139,3109,1,1,49.99,19.49
94,2012-04-08 22:33:08,3147,3116,1,1,49.99,19.49
95,2012-04-09 09:49:50,3189,3158,1,1,49.99,19.49
96,2012-04-09 09:50:14,3188,3157,1,1,49.99,19.49
97,2012-04-09 11:25:30,3208,3177,1,1,49.99,19.49
98,2012-04-09 15:01:23,3247,3215,1,1,49.99,19.49
99,2012-04-09 19:48:47,3295,3263,1,1,49.99,19.49
100,2012-04-09 20:28:57,3299,3267,1,1,49.99,19.49
